grid_id,lon_center,lat_center,T_SAND,T_CLAY,T_SILT,T_OC,T_OM,T_GRAVEL,T_ECE,T_REF_BULK_DENSITY,wilting_point,field_capacity,saturation,available_water,sat_hydraulic_cond,matric_bulk_density,b_parameter,lambda_param,air_entry_tension,bulk_density_normal,compaction_factor
1095.0,121.0191,31.2422,32.0,24.0,44.0,1.2,2.0688,5.0,0.1,1.36,0.15634731136,0.307370975418969,0.458484006586969,0.15102366405896903,8.626132060462519,1.4350173825445323,5.646229360370288,0.17710934788069227,6.070118011332451,1.4350173825445323,1.0
1096.0,121.1191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1097.0,121.2191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1098.0,121.3191,31.2422,80.0,8.0,12.0,0.58,0.9999199999999999,18.0,0.1,1.62,0.053041262847999995,0.11425581775391745,0.4163121297667176,0.061214554905917457,50.902535514691166,1.5467728561181984,4.97375952445282,0.20105515658399536,1.0,1.5467728561181984,1.0
1099.0,121.4191,31.2422,,,,,,,,,,,,,,,,,,,1.0
1100.0,121.5191,31.2422,,,,,,,,,,,,,,,,,,,1.0
1101.0,121.6191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1102.0,121.7191,31.2422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1103.0,121.8191,31.2422,,,,,,,,,,,,,,,,,,,1.0
1115.0,116.5191,31.3422,90.0,4.0,6.0,2.41,4.15484,10.0,0.1,1.74,0.06298436564799999,0.11885995112098473,0.5044081892137848,0.05587558547298474,111.10118058664753,1.3133182985834702,6.010009301755564,0.16638909355895562,1.0,1.3133182985834702,1.0
1116.0,116.6191,31.3422,42.0,20.0,38.0,1.45,2.4998,10.0,0.1,1.41,0.137070226,0.27560087269268374,0.45732805880468375,0.13853064669268375,13.564279971648725,1.438080644167588,5.464466279138466,0.1830004887792374,3.803601332655623,1.438080644167588,1.0
1117.0,116.7191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1118.0,116.8191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1119.0,116.9191,31.3422,42.0,20.0,38.0,1.45,2.4998,10.0,0.1,1.41,0.137070226,0.27560087269268374,0.45732805880468375,0.13853064669268375,13.564279971648725,1.438080644167588,5.464466279138466,0.1830004887792374,3.803601332655623,1.438080644167588,1.0
1120.0,117.0191,31.3422,42.0,20.0,38.0,1.45,2.4998,10.0,0.1,1.41,0.137070226,0.27560087269268374,0.45732805880468375,0.13853064669268375,13.564279971648725,1.438080644167588,5.464466279138466,0.1830004887792374,3.803601332655623,1.438080644167588,1.0
1121.0,117.1191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1122.0,117.2191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1123.0,117.3191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1124.0,117.4191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1125.0,117.5191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1126.0,117.6191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1127.0,117.7191,31.3422,37.0,23.0,40.0,1.07,1.84468,4.0,0.1,1.38,0.149725417072,0.29159423410924507,0.44663152657164495,0.14186881703724508,9.373917434606703,1.4664264545851409,5.725983996580326,0.17464247203576194,5.300244810439021,1.4664264545851409,1.0
1128.0,117.8191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
1129.0,117.9191,31.3422,37.0,23.0,40.0,1.07,1.84468,4.0,0.1,1.38,0.149725417072,0.29159423410924507,0.44663152657164495,0.14186881703724508,9.373917434606703,1.4664264545851409,5.725983996580326,0.17464247203576194,5.300244810439021,1.4664264545851409,1.0
1130.0,118.0191,31.3422,29.0,21.0,50.0,1.12,1.9308800000000002,10.0,0.3,1.38,0.139104047104,0.29999754977002047,0.4559611858148205,0.16089350266602045,9.12383391149835,1.4417028575907256,4.96610803261814,0.20136493073284964,7.025616026225915,1.4417028575907256,1.0
